Color,Destination,Sequence,StopId,StopName
Blue,ForestPark,1,30172,O'Hare Airport (Forest Pk-bound)
Blue,ForestPark,2,30160,Rosemont (Forest Pk-bound)
Blue,ForestPark,3,30045,Cumberland (Forest Pk-bound)
Blue,ForestPark,4,30146,Harlem (O'Hare Branch) (Forest Pk-bound)
Blue,ForestPark,5,30248,Jefferson Park (Forest Pk-bound)
Blue,ForestPark,6,30260,Montrose (Forest Pk-bound)
Blue,ForestPark,7,30108,Irving Park (O'Hare Branch) (Forest Pk-bound)
Blue,ForestPark,8,30240,Addison (O'Hare Branch) (Forest Pk-bound)
Blue,ForestPark,9,30013,Belmont (O'Hare Branch) (Forest Pk-bound)
Blue,ForestPark,10,30198,Logan Square (Forest Pk-bound)
Blue,ForestPark,11,30112,California/Milwaukee (Forest Pk-bound)
Blue,ForestPark,12,30130,Western/Milwaukee (Forest Pk-bound)
Blue,ForestPark,13,30116,Damen/Milwaukee (Forest Pk-bound)
Blue,ForestPark,14,30063,Division/Milwaukee (Forest Pk-bound)
Blue,ForestPark,15,30272,Chicago/Milwaukee (Forest Pk-bound)
Blue,ForestPark,16,30096,Grand/Milwaukee (Forest Pk-bound)
Blue,ForestPark,17,30374,Clark/Lake (Forest Pk-bound)
Blue,ForestPark,18,30073,Washington/Dearborn (Forest Pk-bound)
Blue,ForestPark,19,30154,Monroe/Dearborn (Forest Pk-bound)
Blue,ForestPark,20,30015,Jackson/Dearborn (Forest Pk-bound)
Blue,ForestPark,21,30262,LaSalle (Forest Pk-bound)
Blue,ForestPark,22,30085,Clinton (Forest Pk-bound)
Blue,ForestPark,23,30069,UIC-Halsted (Forest Pk-bound)
Blue,ForestPark,24,30093,Racine (Forest Pk-bound)
Blue,ForestPark,25,30158,Illinois Medical District (Forest Pk-bound)
Blue,ForestPark,26,30043,Western (Forest Pk-bound)
Blue,ForestPark,27,30049,Kedzie-Homan (Forest Pk-bound)
Blue,ForestPark,28,30180,Pulaski (Forest Pk-bound)
Blue,ForestPark,29,30188,Cicero (Forest Pk-bound)
Blue,ForestPark,30,30002,Austin (Forest Pk-bound)
Blue,ForestPark,31,30035,Oak Park (Forest Pk-bound)
Blue,ForestPark,32,30190,Harlem (Forest Pk-bound)
Blue,ForestPark,33,30077,Forest Park (Terminal Arrival)
Blue,Ohare,1,30076,Forest Park (O'Hare-bound)
Blue,Ohare,2,30189,Harlem (O'Hare-bound)
Blue,Ohare,3,30034,Oak Park (O'Hare-bound)
Blue,Ohare,4,30001,Austin (O'Hare-bound)
Blue,Ohare,5,30187,Cicero (O'Hare-bound)
Blue,Ohare,6,30179,Pulaski (O'Hare-bound)
Blue,Ohare,7,30048,Kedzie-Homan (O'Hare-bound)
Blue,Ohare,8,30042,Western (O'Hare-bound)
Blue,Ohare,9,30157,Illinois Medical District (O'Hare-bound)
Blue,Ohare,10,30092,Racine (O'Hare-bound)
Blue,Ohare,11,30068,UIC-Halsted (O'Hare-bound)
Blue,Ohare,12,30084,Clinton (O'Hare-bound)
Blue,Ohare,13,30261,LaSalle (O'Hare-bound)
Blue,Ohare,14,30014,Jackson/Dearborn (O'Hare-bound)
Blue,Ohare,15,30153,Monroe/Dearborn (O'Hare-bound)
Blue,Ohare,16,30072,Washington/Dearborn (O'Hare-bound)
Blue,Ohare,17,30375,Clark/Lake (O'Hare-bound)
Blue,Ohare,18,30095,Grand/Milwaukee (O'Hare-bound)
Blue,Ohare,19,30271,Chicago/Milwaukee (O'Hare-bound)
Blue,Ohare,20,30062,Division/Milwaukee (O'Hare-bound)
Blue,Ohare,21,30115,Damen/Milwaukee (O'Hare-bound)
Blue,Ohare,22,30129,Western/Milwaukee (O'Hare-bound)
Blue,Ohare,23,30111,California/Milwaukee (O'Hare-bound)
Blue,Ohare,24,30197,Logan Square (O'Hare-bound)
Blue,Ohare,25,30012,Belmont (O'Hare Branch) (O'Hare-bound)
Blue,Ohare,26,30239,Addison (O'Hare Branch) (O'Hare-bound)
Blue,Ohare,27,30107,Irving Park (O'Hare Branch) (O'Hare-bound)
Blue,Ohare,28,30259,Montrose (O'Hare-bound)
Blue,Ohare,29,30247,Jefferson Park (O'Hare-bound)
Blue,Ohare,30,30145,Harlem (O'Hare Branch) (O'Hare-bound)
Blue,Ohare,31,30044,Cumberland (O'Hare-bound)
Blue,Ohare,32,30159,Rosemont (O'Hare-bound)
Blue,Ohare,33,30171,O'Hare Airport (Terminal Arrival)
Red,95th,1,30174,Howard (95th-Bound)
Red,95th,2,30228,Jarvis (95th-bound)
Red,95th,3,30021,Morse (95th-bound)
Red,95th,4,30252,Loyola (95th-bound)
Red,95th,5,30148,Granville (95th-bound)
Red,95th,6,30170,Thorndale (95th-bound)
Red,95th,7,30268,Bryn Mawr (95th-bound)
Red,95th,8,30067,Berwyn (95th-bound)
Red,95th,9,30230,Argyle (95th-bound)
Red,95th,10,30150,Lawrence (95th-bound)
Red,95th,11,30106,Wilson (95th-bound)
Red,95th,12,30017,Sheridan (95th-bound)
